Name, RA, Dec, N_exp, SNR
HD14744,35.40808,-34.83739,6,133.187086461
HD17970,43.08145,-33.45023,42,745.95214994
HD216770,343.97501,-26.65832,30,686.75665268
HD215152,340.83679,-6.40413,291,1892.69967771
HD8406,20.75277,-16.48775,21,572.148232541
HD209566,331.27444,-35.18192,13,142.115410846
HD2014,6.0921,-24.84957,5,86.3478430535
HIP9603,30.87714,-4.91211,30,126.0695443
HD4628,12.09668,5.2767,167,1702.07996287
HD49933,102.71051,-0.54244,1236,4350.75993822
HD160691,266.03827,-51.83459,1601,6509.17107088
Zeta-Gem,106.02722,20.56831,44,1524.15700635
HIP43310,132.34636,-32.38493,28,267.608949776
HD160346,264.82419,3.55417,102,1192.65492914
Y-Sgr,275.34504,-18.85953,18,774.737394218
HD199260,314.19447,-26.29357,51,1571.09568136
HD76632,134.36726,4.43046,2,56.4415626998
HD102117,176.21068,-58.70314,68,1262.762935
V642-Tau,56.64684,24.3402,23,88.2987542381
HD94964,163.83192,-75.19234,12,145.143377389
HD118679,204.77923,-39.66468,6,74.2928664139
CD-71-1234,241.93812,-71.34971,23,190.218453363
HD32147,75.21154,-5.75364,117,1428.71717985
HD135625,229.44413,-45.92421,47,484.527635951
HD77058,134.73865,-34.00673,11,128.866714089
HD96700,166.97634,-30.17712,372,3771.92046178
HD174545,283.48655,-54.90568,25,474.94057523
HD209625,331.1939,-0.90469,1762,8733.75684857
HD29263,68.941,-21.34204,4,120.673733679
BF Hyi,60.99851,-74.45993,4,38.3789004532
HD104067,179.79114,-20.35329,89,1250.77983674
HD10700,26.01216,-15.93327,1116,10462.6531535
HD196050,309.45754,-60.63436,53,1227.34065768
HD26913,63.86529,6.18778,62,1019.55981678
HD216803,344.09873,-31.56468,193,1250.00968796
HIP18180,58.33361,-37.06935,19,64.9537527784
