# Name, RA, Dec, N_exp, SNR, parallax, parallax_error, Kmag, Kmag_err, Bmag, Bmag_err, Vmag, Vmag_err
GJ1207,254.27859,-4.34731,1.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vesta,35.69868,8.64134,1.0,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRa01_E2_2379,100.7146,8.45642,6.0,13.5454789506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIP28641,90.71852,-30.40765,5.0,165.763988852,13.2973511727,0.243295300209,7.53900003433,0.0,9.69299983978,0.101000003517,9.06799983978,0.0680000036955
GJ3598,156.08931,11.95645,7.0,19.7496835418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ4331,349.69127,-61.25437,1.0,11.8,27.7869823227,0.311694067238,7.3060002327,0.0,12.6579999924,0.0130000002682,11.2089996338,0.0359999984503
Phe,17.09682,-55.2448,6.0,747.39424001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLTT44619_F2V,260.25532,-21.11131,1.0,416.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD195034,307.05073,22.12703,1.0,152.9,35.6827247255,0.305163905566,5.57899999619,0.0,0.0,0.0,0.0,0.0
SW0018-1516,4.59987,-15.26778,44.0,115.933299789,4.19142486643,0.512106493894,9.68999958038,0.0,11.7309999466,0.0419999994338,11.1049995422,0.0260000005364
HD42597,92.989373,7.39239,26.0,1081.35062306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW2353-1007,358.41144,-10.11676,37.0,158.46324495,2.7597414042,0.701451236608,10.1990003586,0.0,12.0089998245,0.0579999983311,11.4619998932,0.0140000004321
HD41641,91.67636,6.72984,207.0,3084.01936278,5.33620670145,0.307799022029,7.17100000381,0.0,8.08699989319,0.0260000005364,7.96000003815,0.138999998569
GJ4149,308.68455,3.34731,4.0,20.9100454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD159868,264.74931,-43.14599,9.0,424.527478498,18.0636430277,0.347019344132,0.0,0.0,7.92700004578,0.0,7.22599983215,0.0
SW2351-3954,357.88503,-39.90914,63.0,141.456777851,11.4775437145,0.795083891357,8.78299999237,0.0,12.2569999695,0.00600000005215,11.1890001297,0.082999996841
SW1117-1903,169.4427,-19.05235,25.0,108.121551968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moon,87.735414,24.45063,4.0,441.93604741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD061005,113.95298,-32.20469,35.0,567.563494245,27.2231083329,0.259227044153,6.45800018311,0.0,8.85799980164,0.0,8.1920003891,0.0
HD43285,93.916267,6.06395,166.0,2874.11993835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSP95-66,161.03392,-63.99497,54.0,252.84983686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD168050,274.66275,-19.10114,2.0,74.420024187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD170783,277.76999,4.62637,130.0,2238.980087,1.32606994134,0.335437804179,7.26399993896,0.0,0.0,0.0,0.0,0.0
HR7349,290.59407,-0.25344,121.0,1922.03826445,8.43796587251,0.838646154176,3.45799994469,0.0,7.23099994659,0.0,5.96000003815,0.0
LRa03_E2_4826,93.436695,4.4054,14.0,14.7248089971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW2334-0134,353.61465,-1.57929,33.0,86.5520074868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAS180057,270.243409,-23.56274,12.0,110.377216852,0.486952698042,0.347473739599,5.91699981689,0.0,12.2629995346,0.0860000029206,10.3690004349,0.0630000010133
HD4597,11.881306,-36.93995,31.0,514.145368549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSP95-15,158.42642,-64.23013,21.0,104.327465224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW1508+0220,227.21325,2.34419,63.0,157.662899885,2.96052797467,0.316941715547,10.1479997635,0.0,12.0649995804,0.0309999994934,11.513999939,0.0140000004321
GJ317,130.24812,-23.45163,79.0,113.17764797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
